case_id,model_type,arrival_rate,service_rate,num_servers,timeout,spawn_time,blocking_probability,latency,cpu_usage,ram_usage
76,Markov,11.368150458054508,1.8179867417393796,4,0.6825860742293175,5.017765608374625,0.5199281740213908,1.3217249474843489,154.88242546118164,263.60693224125987
77,Markov,25.896120337243815,0.4802929739971987,17,4.075047184390796,1.0986265546076037,0.4011671391190679,2.1043296420725195,1615.9999183191026,1340.2827222139354
78,Markov,22.519259796558924,2.8407212257492542,7,6.498999102703924,2.0896648761484538,0.043315262005383284,0.4124416408679655,384.5463626795994,463.85244683323003
79,Markov,17.149215825337976,2.1528201432593326,9,4.891312373728147,7.158451456507709,0.05751034013548117,0.7884853051225368,384.20483149108657,564.7464203228742
80,Markov,10.78530867486278,3.607271813181774,17,8.30537914228929,6.585571904067995,1.0001674096959678e-06,0.584044420497672,156.97646133617434,344.073881175693
81,Markov,28.144748322115362,0.5324142686831453,11,2.530350823977885,4.942191478542334,0.6162713142534533,1.9817483622258014,1015.9331328461924,862.102822107393
82,Markov,14.986373503335797,3.918619871863822,2,1.1343029982410686,8.36119491022227,0.7014661478473904,0.8107344062605212,59.90830590764205,130.3479878454078
83,Markov,11.841639945264177,2.777100320877974,9,0.7099492760253193,6.246039385562045,0.1798279716771907,1.5517783405476258,187.75137097535747,526.5730811645531
84,Markov,26.126912463033527,1.4649275288645405,16,7.312368428000739,2.178788973256202,0.005421846830689318,0.759175276965016,895.5775780063568,969.4767524308278
85,Markov,18.447653847379883,3.667570682523859,1,7.635860147116567,4.055767378537247,0.7052606760028525,0.305456077194553,74.64007563166962,74.72221862153245
86,Markov,6.356440472728074,1.1827265087764887,3,9.791227936504969,5.314334938269162,0.29386978090796545,1.0091550966440934,191.83904761173517,214.4373544092476
87,Markov,29.78256079681239,2.5898407842037576,20,2.789421924082452,2.297976062006035,3.0454338169140267e-05,0.5285805174091981,584.3632416926879,741.7514482233794
88,Markov,21.261999101237514,0.28147654490276997,14,2.619767988552727,3.8982110636921257,0.6463324377580023,3.6528262326383465,1337.014936846159,1106.3743771079064
89,Markov,14.668253113925449,1.1592110718818045,11,2.103572807548847,7.413470318980621,0.15201867452163081,1.4924657624292217,546.5596992837535,730.9029200091787
90,Markov,27.480638720068356,3.3289028350194276,12,5.4244249892570116,8.736174201909295,0.022762516236313875,0.5914859398249299,416.03374511895265,702.8190910132835
91,Markov,5.795369205709171,2.1593772815694607,18,3.594704011025455,6.418679616435753,9.687133552484718e-08,1.2816590516030941,141.5913586349982,329.3711934805052
92,Markov,6.23464059776871,0.6159059297599592,20,8.180086471644337,4.8061701135037485,2.4316668008412885e-07,2.024874791230719,512.8951110319948,607.6920670848577
93,Markov,11.078707906490196,0.537603503604849,19,5.678976509334388,8.127182707986922,0.016036715335916177,2.470709407574514,1025.1624824367934,1150.303534343358
94,Markov,22.413776900781457,2.213804217459182,13,9.960128009571164,8.02672984740125,0.007280721765009109,0.6728781727260535,513.5694579683286,732.8596826056081
95,Markov,14.658686246690639,1.1248367074489152,4,9.646426409926393,7.032426313142312,0.49739838053783997,0.9708030185579227,328.92013775133677,304.86500688871143
96,Markov,20.294843785685828,3.1057492887185196,19,9.11847644060954,3.329671300424135,1.3820883369617365e-07,0.42505886847629515,334.55085792122827,496.00424752831066
97,Markov,13.355214251978873,2.042510336754929,20,7.572624698237622,9.551645968107335,2.3895146612746673e-05,0.962230879538618,338.23980718103115,601.0261815127437
98,Markov,18.245944777515255,3.2642702428757984,17,2.3595474163139682,9.267203053208409,0.006646716441503848,1.1003584454114048,295.6774399891124,763.7587918840366
99,Markov,20.826292121708292,1.7184606940375118,13,7.668433951503467,3.335742095696096,0.005262149161975896,0.7064686315424081,611.2812548901425,737.5791217397742
0,Simulator,19.63579179817968,2.8787756842565972,8,9.649756414632604,6.620442767005022,0.02956813174661234,0.5170299267066225,339.5297740573957,497.5835687537503
1,Simulator,10.033827098357962,2.742929789651423,7,1.7299608218564109,3.353282064821137,0.031705227077977724,0.8224620544630117,186.08327933505888,347.53672511170345
2,Simulator,26.838836161312422,3.003489273764296,11,1.5311367447598578,4.540533650935111,0.07415439874223997,0.6781680789296375,425.4643548202835,676.5222902132521
