case_id,model_type,arrival_rate,service_rate,num_servers,warm_percent,spawn_time,blocking_probability,latency,cpu_usage,ram_usage
145,Markov,15.0,1.0,5,0.3,4,0.722671649982102,2.3178021884899493,224.65270270911978,337.1726999561244
146,Markov,15.0,1.0,5,0.3,8,0.7627733619284334,2.728786113275404,196.58567824496714,333.2042677442845
147,Markov,15.0,1.0,5,0.5,2,0.5872923026839298,1.513365528699009,319.4633275519294,354.9183406282107
148,Markov,15.0,1.0,5,0.5,4,0.6283789538221272,1.6980046167371368,290.7868877287924,351.65183525040345
149,Markov,15.0,1.0,5,0.5,8,0.656741435890062,1.850340197719637,270.97722689928287,349.2563532240561
150,Markov,15.0,1.0,5,0.7,2,0.51337850863292,1.2576076972155177,371.24806184965314,367.6094969245538
151,Markov,15.0,1.0,5,0.7,4,0.5374991696797138,1.3334745135902286,354.4569319574345,366.1307592252434
152,Markov,15.0,1.0,5,0.7,8,0.5542807596792592,1.3908553705927995,342.7698178321149,365.0525889689127
153,Markov,15.0,1.0,5,1.0,2,0.41034054195845354,1.0000000000000002,443.39970166053666,388.448918706232
154,Markov,15.0,1.0,5,1.0,4,0.41034054195845354,1.0000000000000002,443.39970166053666,388.448918706232
155,Markov,15.0,1.0,5,1.0,8,0.41034054195845354,1.0000000000000002,443.39970166053666,388.448918706232
156,Markov,15.0,1.0,15,0.3,2,0.0918368742661503,1.8194398557341156,715.5696131029348,908.5493848557903
157,Markov,15.0,1.0,15,0.3,4,0.20891517735427179,2.289440626233713,640.1751189640295,962.4447347747744
158,Markov,15.0,1.0,15,0.3,8,0.3144095046955367,2.7447138017443895,568.9789765254588,978.3941690437944
159,Markov,15.0,1.0,15,0.5,2,0.014887402451634835,1.33585804729995,756.427803850665,821.0960351658982
160,Markov,15.0,1.0,15,0.5,4,0.043229988574032846,1.5731216862237427,744.9578084590781,901.9599254945724
161,Markov,15.0,1.0,15,0.5,8,0.08680375358090199,1.8192118259706858,721.2664832039072,965.7056514902636
162,Markov,15.0,1.0,15,0.7,2,0.0013839238131274022,1.0603946348413607,758.1491462939226,820.5023723839436
163,Markov,15.0,1.0,15,0.7,4,0.002722313791949849,1.1155832003612067,759.6184410106779,844.4302104053771
164,Markov,15.0,1.0,15,0.7,8,0.005555688826734681,1.2090314064122567,761.6604793200006,884.4008812386178
165,Markov,15.0,1.0,15,1.0,2,0.000221180160393507,0.9999999999999996,764.8374325821104,1049.9668229759409
166,Markov,15.0,1.0,15,1.0,4,0.000221180160393507,0.9999999999999996,764.8374325821104,1049.9668229759409
167,Markov,15.0,1.0,15,1.0,8,0.000221180160393507,0.9999999999999996,764.8374325821104,1049.9668229759409
168,Markov,15.0,1.0,30,0.3,2,1.722428952999317e-10,1.172337759622424,762.0477322520204,806.3279876992628
169,Markov,15.0,1.0,30,0.3,4,6.727060024201563e-08,1.344675273978561,769.8028690322209,883.8798184799373
170,Markov,15.0,1.0,30,0.3,8,1.5258070009546155e-05,1.6892394916532432,785.2963935305193,1038.9198799788414
171,Markov,15.0,1.0,30,0.5,2,2.927670255592864e-15,1.0004423603207788,765.0232239168381,1050.2985932165257
172,Markov,15.0,1.0,30,0.5,4,2.1263397344046503e-14,1.0008847206414853,765.043130131256,1050.4976553608326
173,Markov,15.0,1.0,30,0.5,8,9.498233859705613e-14,1.0017694412823817,765.0829425600409,1050.8957796491918
174,Markov,15.0,1.0,30,0.7,2,9.507548877650207e-18,1.000000010833465,777.0000005687564,1410.0000073125893
175,Markov,15.0,1.0,30,0.7,4,2.005919133492992e-17,1.0000000216669307,777.0000010562625,1410.0000121876487
176,Markov,15.0,1.0,30,0.7,8,3.182865541089012e-17,1.0000000433338618,777.0000020312741,1410.000021937768
177,Markov,15.0,1.0,30,1.0,2,-6.328778961964962e-18,0.9999999999999993,794.9999999999994,1950.0
178,Markov,15.0,1.0,30,1.0,4,-6.328778961964962e-18,0.9999999999999993,794.9999999999994,1950.0
179,Markov,15.0,1.0,30,1.0,8,-6.328778961964962e-18,0.9999999999999993,794.9999999999994,1950.0
180,Markov,15.0,4.0,5,0.3,2,0.24791176537297524,0.7269586890498083,158.01097960197313,299.80278688249297
181,Markov,15.0,4.0,5,0.3,4,0.3246695383363248,0.8577009232051604,145.94467386762926,311.546887900832
182,Markov,15.0,4.0,5,0.3,8,0.37249976845352895,0.9482563943055431,138.22557540443123,316.86305022102874
183,Markov,15.0,4.0,5,0.5,2,0.07685286634122804,0.46613943227097393,183.9811841240923,285.6293193065683
184,Markov,15.0,4.0,5,0.5,4,0.11236112535664304,0.5395591507129268,179.91068131764862,306.17603804372214
185,Markov,15.0,4.0,5,0.5,8,0.1399237320486317,0.5913035271003505,176.38623229445273,318.4770443554437
186,Markov,15.0,4.0,5,0.7,2,0.01689873539302264,0.31848708843266277,190.8009390862539,280.9519799417583
187,Markov,15.0,4.0,5,0.7,4,0.02450532330375682,0.35685156704788623,191.0353564751922,296.41751797715693
188,Markov,15.0,4.0,5,0.7,8,0.03300374731723679,0.3952734456893264,191.072960396146,311.453338609947
189,Markov,15.0,4.0,5,1.0,2,0.0035702861185134102,0.25,193.09395992572317,337.3661142705557
190,Markov,15.0,4.0,5,1.0,4,0.0035702861185134102,0.25,193.09395992572317,337.3661142705557
191,Markov,15.0,4.0,5,1.0,8,0.0035702861185134102,0.25,193.09395992572317,337.3661142705557
192,Markov,15.0,4.0,15,0.3,2,3.924011621847937e-11,0.2691097531744377,193.64576967280615,317.174312542708
193,Markov,15.0,4.0,15,0.3,4,3.849515147273679e-10,0.28821950497924126,194.50570843857298,325.7737007967297
194,Markov,15.0,4.0,15,0.3,8,4.015067489527329e-09,0.326438981195047,196.225584174489,342.9724644178371
195,Markov,15.0,4.0,15,0.5,2,3.865405473006229e-15,0.2500146688493018,198.75068760231034,487.50742610495894
196,Markov,15.0,4.0,15,0.5,4,6.045964556660505e-15,0.2500293376985948,198.75134770052804,487.5140270871404
197,Markov,15.0,4.0,15,0.5,8,7.823108792183198e-15,0.25005867539717547,198.75266789696383,487.5272290515014
198,Markov,15.0,4.0,15,0.7,2,8.168251149483034e-17,0.25000000104409087,204.75000004894176,667.500000528571
199,Markov,15.0,4.0,15,0.7,4,9.202459967862846e-17,0.2500000020881816,204.7500000959258,667.5000009984118
0,Simulator,10.0,0.25,5,0.3,2,0.8113976937217983,5.194661906687534,375.9456786393435,370.1136992459423
1,Simulator,10.0,0.25,5,0.3,4,0.8395986905106563,6.125504103018444,321.34410883787075,360.119366217012
