lambda,theta,repetition,profile_name,profile_color,profile_marker,profile_line,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request,power_usage_per_request,,,,,
8,4.248181818,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.106066559,4.899491037,80.05358803,53.0053588,123.2138003,,,,,
8,4.349090909,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.106958149,4.9080065,80.1239688,53.01239688,123.2955208,,,,,
8,4.45,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.107834707,4.916363416,80.19325598,53.0193256,123.3760188,,,,,
8,4.550909091,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.108696687,4.924567271,80.26147774,53.02614777,123.4553282,,,,,
8,4.651818182,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.10954452,4.93262325,80.32866125,53.03286612,123.5334816,,,,,
8,4.752727273,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.110378619,4.940536264,80.3948327,53.03948327,123.6105099,,,,,
8,4.853636364,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.111199375,4.948310964,80.46001736,53.04600174,123.6864426,,,,,
8,4.954545455,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.112007162,4.955951764,80.5242396,53.05242396,123.7613082,,,,,
8,5.055454545,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.112802339,4.963462857,80.58752296,53.0587523,123.8351336,,,,,
8,5.156363636,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.113585248,4.970848229,80.64989013,53.06498901,123.9079448,,,,,
8,5.257272727,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.114356215,4.978111675,80.71136303,53.0711363,123.9797667,,,,,
8,5.358181818,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.115115554,4.985256811,80.77196283,53.07719628,124.0506231,,,,,
8,5.459090909,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.115863566,4.992287086,80.83170999,53.083171,124.120537,,,,,
8,5.56,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.116600541,4.99920579,80.89062426,53.08906243,124.1895305,,,,,
