lambda,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,best_theta_blocking_ratios,best_blocking_ratios_value,best_theta_latency,best_latency_value,best_theta_ram_usage_per_request,best_ram_usage_per_request_value,best_theta_cpu_usage_per_request,best_cpu_usage_per_request_value
7.275454545,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.056215019,0.110808081,49.38583002,0.463636364,50.26787361
7.376363636,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.051432564,0.110808081,49.31330485,0.110808081,50.26390719
7.477272727,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.01,2.66E-05,0.01,2.050903165,0.262020202,49.5190796,0.06040404,50.43243689
7.578181818,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.066589008,0.161212121,49.40332363,0.362828283,50.52932237
7.679090909,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.066804944,0.262020202,49.1360241,0.262020202,50.19374539
7.78,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.052801283,0.211616162,49.29380781,0.463636364,50.24990666
7.880909091,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.01,0,0.01,2.041053383,0.211616162,49.230555,0.413232323,50.32963403
7.981818182,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.047774961,0.211616162,48.98399102,0.312424242,50.41767436
8.082727273,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.044821856,0.211616162,49.64106717,1.522121212,50.81446271
8.183636364,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.01,0,0.01,2.054266475,0.161212121,49.13414394,0.362828283,50.17572826
8.284545455,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.04423888,0.211616162,49.00853869,0.413232323,50.28807339
8.385454545,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.034694053,0.110808081,48.82666127,0.110808081,50.41614126
8.486363636,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.071522365,0.110808081,48.7267888,0.110808081,50.59214427
8.587272727,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,9.28E-05,0.01,2.066151573,0.161212121,48.91649752,0.463636364,50.34076523
8.688181818,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,2.31E-05,0.01,2.070651675,0.161212121,48.82937856,0.514040404,50.53608963
8.789090909,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.037735285,0.262020202,48.77274609,0.917272727,50.1299346
8.89,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,2.26E-05,0.01,2.049229087,0.161212121,49.01277613,1.471717172,50.45909741
8.990909091,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.06130778,0.161212121,48.20216421,2.177373737,50.18336951
9.091818182,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.040653739,0.262020202,48.41348259,0.413232323,50.07234256
9.192727273,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,6.50E-05,0.01,2.044520455,0.211616162,48.56166125,0.614848485,50.54276323
9.293636364,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0.000108427,0.01,2.049368612,0.161212121,48.36274137,0.161212121,50.50144806
9.394545455,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,8.54E-05,0.01,2.039336935,0.211616162,48.46657068,0.211616162,50.32512054
9.495454545,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,2.09E-05,0.01,2.045253628,0.06040404,48.36161153,0.06040404,50.14484687
9.596363636,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0.000250376,0.01,2.053096559,0.161212121,48.38812507,0.312424242,50.34065547
9.697272727,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0.000414207,0.01,2.047912399,0.161212121,48.54898757,0.816464646,50.36114722
9.798181818,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0.000368053,0.01,2.040565305,0.262020202,48.35768884,0.514040404,50.42292248
9.899090909,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0.000359561,0.01,2.056968551,0.362828283,48.1507155,0.362828283,50.03748531
10,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0.000260589,0.01,2.040614611,0.110808081,48.22944263,0.766060606,50.44187624
