request_id,image,send_time,success,warm,processing_time_s,response_time_s
2939,000000341196.jpg,1776419526.6247852,True,,1.99,2.000861
2940,000000341469.jpg,1776419528.6257305,True,,1.79,1.800274
2941,000000341681.jpg,1776419530.4260917,True,,1.69,1.701554
2942,000000341719.jpg,1776419532.127734,True,,1.99,2.002202
2943,000000341828.jpg,1776419534.1300197,True,,2.39,2.3973
2944,000000341921.jpg,1776419536.5274055,True,,1.59,1.596706
2945,000000341973.jpg,1776419538.1241987,True,,1.4,1.403679
2946,000000342006.jpg,1776419539.5279782,True,,1.99,1.997559
2947,000000342128.jpg,1776419541.5256228,True,,2.19,2.200625
2948,000000342186.jpg,1776419543.7263436,True,,1.79,1.801711
2949,000000342295.jpg,1776419545.528144,True,,1.39,1.397814
2950,000000342367.jpg,1776419546.926046,True,,1.39,1.402381
2951,000000342397.jpg,1776419548.3285146,True,,1.39,1.397554
2952,000000342971.jpg,1776419549.7261717,True,,1.09,1.098693
2953,000000343076.jpg,1776419550.824962,True,,1.99,1.999921
2954,000000343149.jpg,1776419552.8249848,True,,1.89,1.900532
2955,000000343218.jpg,1776419554.7256048,True,,1.79,1.802408
2956,000000343315.jpg,1776419556.5281074,True,,1.79,1.798965
2957,000000343453.jpg,1776419558.327161,True,,1.99,2.001888
2958,000000343466.jpg,1776419560.3291395,True,,1.89,1.895397
2959,000000343496.jpg,1776419562.2246184,True,,1.6,1.604467
2960,000000343524.jpg,1776419563.829176,True,,1.49,1.498001
2961,000000343561.jpg,1776419565.3272638,True,,1.79,1.799028
2962,000000343706.jpg,1776419567.1263819,True,,1.99,2.001992
2963,000000343803.jpg,1776419569.1284626,True,,1.79,1.799551
2964,000000343934.jpg,1776419570.928107,True,,1.99,1.996678
2965,000000343937.jpg,1776419572.9248755,True,,1.79,1.802422
2966,000000343976.jpg,1776419574.7273912,True,,1.39,1.40018
2967,000000344029.jpg,1776419576.1276555,True,,1.39,1.40173
2968,000000344059.jpg,1776419577.5294778,True,,1.39,1.394584
2969,000000344100.jpg,1776419578.9241486,True,,1.3,1.306471
2970,000000344268.jpg,1776419580.2307043,True,,1.49,1.494349
2971,000000344611.jpg,1776419581.725141,True,,1.39,1.400347
2972,000000344614.jpg,1776419583.1255727,True,,1.4,1.403441
2973,000000344621.jpg,1776419584.5291018,True,,1.29,1.300459
2974,000000344795.jpg,1776419585.8296487,True,,1.29,1.296775
2975,000000344816.jpg,1776419587.1265063,True,,1.69,1.698584
2976,000000344888.jpg,1776419588.8251731,True,,1.69,1.702347
2977,000000344909.jpg,1776419590.5276084,True,,1.99,1.997458
2978,000000345027.jpg,1776419592.525154,True,,1.69,1.698048
2979,000000345252.jpg,1776419594.2232873,True,,1.9,1.90453
2980,000000345261.jpg,1776419596.1279306,True,,1.99,1.996781
2981,000000345356.jpg,1776419598.124799,True,,1.39,1.401372
2982,000000345361.jpg,1776419599.526257,True,,1.39,1.402031
2983,000000345385.jpg,1776419600.9283757,True,,1.69,1.697203
2984,000000345397.jpg,1776419602.625665,True,,1.89,1.902024
2985,000000345466.jpg,1776419604.5277867,True,,1.79,1.799546
2986,000000345469.jpg,1776419606.327422,True,,1.89,1.900809
2987,000000345941.jpg,1776419608.2283244,True,,2.29,2.29916
2988,000000346232.jpg,1776419610.5275774,True,,1.79,1.799522
2989,000000346638.jpg,1776419612.327186,True,,1.79,1.800813
2990,000000346703.jpg,1776419614.1280875,True,,2.39,2.401094
2991,000000346707.jpg,1776419616.529273,True,,1.69,1.698296
2992,000000346905.jpg,1776419618.2276564,True,,1.89,1.897106
2993,000000346968.jpg,1776419620.1248477,True,,1.89,1.901553
2994,000000347163.jpg,1776419622.026489,True,,1.89,1.896824
2995,000000347174.jpg,1776419623.9233956,True,,1.6,1.606644
2996,000000347254.jpg,1776419625.5301268,True,,1.9,1.995625
2997,000000347265.jpg,1776419627.5258393,True,,1.79,1.797658
2998,000000347335.jpg,1776419629.3235786,True,,1.8,1.803287
2999,000000347370.jpg,1776419631.1269658,True,,1.79,1.799662
3000,000000347456.jpg,1776419632.9267144,True,,1.49,1.497637
3001,000000347544.jpg,1776419634.424435,True,,1.89,1.90047
3002,000000347664.jpg,1776419636.3249912,True,,1.7,1.703977
3003,000000347693.jpg,1776419638.0290515,True,,1.69,1.70021
3004,000000347930.jpg,1776419639.7293496,True,,1.79,1.798061
